protein_id	node_id	component_id	sequence_length	method	level	truth_labels	output_labels	winner_distance	best_matching_distance	top_tied_centres	top_tied_distinct_labels	state	evaluable	library_match	returned_match	retained_match	first_matching_rank	output_count	matched_output_count	truth_count	hit	has_output	acceptance_status	selected_reference	returned_hits	retained_stage_definition
A0A078BQP2	63709	846	1034	CLEAN_TOP1	EC_L3	"[""4.6.1""]"	"[""4.6.1""]"	6.655746936798096	6.655746936798096	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A078BQP2	63709	846	1034	CLEAN_MAXSEP	EC_L3	"[""4.6.1""]"	"[""4.6.1""]"	6.655746936798096	6.655746936798096	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A078BQP2	63709	846	1034	CLEAN_TOP1	EC_L4	"[""4.6.1.2""]"	"[""4.6.1.2""]"	6.655746936798096	6.655746936798096	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A078BQP2	63709	846	1034	CLEAN_MAXSEP	EC_L4	"[""4.6.1.2""]"	"[""4.6.1.2""]"	6.655746936798096	6.655746936798096	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A0U1RPR8	57057	846	1117	CLEAN_TOP1	EC_L3	"[""4.6.1""]"	"[""2.7.10""]"	8.478431701660156	9.10997486114502	1.0	1.0	SELECTION_LOSS	1	1	1	1	5.0	1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A0U1RPR8	57057	846	1117	CLEAN_MAXSEP	EC_L3	"[""4.6.1""]"	"[""2.7.10"", ""2.7.11""]"	8.478431701660156	9.10997486114502	1.0	1.0	SELECTION_LOSS	1	1	1	1	5.0	2	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A0U1RPR8	57057	846	1117	CLEAN_TOP1	EC_L4	"[""4.6.1.2""]"	"[""2.7.10.1""]"	8.478431701660156	9.10997486114502	1.0	1.0	SELECTION_LOSS	1	1	1	1	5.0	1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A0U1RPR8	57057	846	1117	CLEAN_MAXSEP	EC_L4	"[""4.6.1.2""]"	"[""2.7.10.1"", ""2.7.10.2"", ""2.7.11.1""]"	8.478431701660156	9.10997486114502	1.0	1.0	SELECTION_LOSS	1	1	1	1	5.0	3	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A1T4LJ54	80690	52363	286	CLEAN_TOP1	EC_L3	"[""4.6.1""]"	"[""4.6.1""]"	6.143515110015869	6.143515110015869	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A1T4LJ54	80690	52363	286	CLEAN_MAXSEP	EC_L3	"[""4.6.1""]"	"[""4.6.1""]"	6.143515110015869	6.143515110015869	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A1T4LJ54	80690	52363	286	CLEAN_TOP1	EC_L4	"[""4.6.1.26""]"	"[""4.6.1.1""]"	6.143515110015869		1.0	1.0	NO_LIBRARY_SUPPORT	1	0	0	0		1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A1T4LJ54	80690	52363	286	CLEAN_MAXSEP	EC_L4	"[""4.6.1.26""]"	"[""4.6.1.1""]"	6.143515110015869		1.0	1.0	NO_LIBRARY_SUPPORT	1	0	0	0		1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A2H5BHJ6	101278	154	387	CLEAN_TOP1	EC_L3	"[""6.3.4""]"	"[""6.3.4""]"	8.785928726196289	8.785928726196289	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A2H5BHJ6	101278	154	387	CLEAN_MAXSEP	EC_L3	"[""6.3.4""]"	"[""6.3.4""]"	8.785928726196289	8.785928726196289	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A2H5BHJ6	101278	154	387	CLEAN_TOP1	EC_L4	"[""6.3.4.25""]"	"[""6.3.4.4""]"	8.785928726196289		1.0	1.0	NO_LIBRARY_SUPPORT	1	0	0	0		1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A2H5BHJ6	101278	154	387	CLEAN_MAXSEP	EC_L4	"[""6.3.4.25""]"	"[""6.3.4.4""]"	8.785928726196289		1.0	1.0	NO_LIBRARY_SUPPORT	1	0	0	0		1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A327	92034	185	1066	CLEAN_TOP1	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	6.992609024047852	6.992609024047852	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A327	92034	185	1066	CLEAN_MAXSEP	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	6.992609024047852	6.992609024047852	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A327	92034	185	1066	CLEAN_TOP1	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	6.992609024047852	6.992609024047852	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A327	92034	185	1066	CLEAN_MAXSEP	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	6.992609024047852	6.992609024047852	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A385AJM6	4551	4551	358	CLEAN_TOP1	EC_L3	"[""4.2.3""]"	"[""4.2.3""]"	6.78861141204834	6.78861141204834	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A385AJM6	4551	4551	358	CLEAN_MAXSEP	EC_L3	"[""4.2.3""]"	"[""4.2.3""]"	6.78861141204834	6.78861141204834	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0A385AJM6	4551	4551	358	CLEAN_TOP1	EC_L4	"[""4.2.3.198"", ""4.2.3.73"", ""4.2.3.86""]"	"[""4.2.3.125""]"	6.78861141204834	8.109920501708984	1.0	1.0	RETENTION_LOSS	1	1	1	0	24.0	1	0	3	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A385AJM6	4551	4551	358	CLEAN_MAXSEP	EC_L4	"[""4.2.3.198"", ""4.2.3.73"", ""4.2.3.86""]"	"[""4.2.3.125""]"	6.78861141204834	8.109920501708984	1.0	1.0	RETENTION_LOSS	1	1	1	0	24.0	1	0	3	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A7U3TBV6	110152	154	359	CLEAN_TOP1	EC_L3	"[""6.3.4""]"	"[""4.4.1""]"	9.781911849975586	9.849252700805664	1.0	1.0	SELECTION_LOSS	1	1	1	1	2.0	1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A7U3TBV6	110152	154	359	CLEAN_MAXSEP	EC_L3	"[""6.3.4""]"	"[""4.4.1""]"	9.781911849975586	9.849252700805664	1.0	1.0	SELECTION_LOSS	1	1	1	1	2.0	1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A7U3TBV6	110152	154	359	CLEAN_TOP1	EC_L4	"[""6.3.4.25""]"	"[""4.4.1.28""]"	9.781911849975586		1.0	1.0	NO_LIBRARY_SUPPORT	1	0	0	0		1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0A7U3TBV6	110152	154	359	CLEAN_MAXSEP	EC_L4	"[""6.3.4.25""]"	"[""4.4.1.28""]"	9.781911849975586		1.0	1.0	NO_LIBRARY_SUPPORT	1	0	0	0		1	0	1	0	1	NOT_APPLICABLE			native_top10_calling_input
A0AF63	58383	185	1184	CLEAN_TOP1	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	7.393134593963623	7.393134593963623	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0AF63	58383	185	1184	CLEAN_MAXSEP	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	7.393134593963623	7.393134593963623	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0AF63	58383	185	1184	CLEAN_TOP1	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	7.393134593963623	7.393134593963623	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0AF63	58383	185	1184	CLEAN_MAXSEP	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	7.393134593963623	7.393134593963623	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0JZ93	160050	185	1171	CLEAN_TOP1	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	7.5111470222473145	7.5111470222473145	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0JZ93	160050	185	1171	CLEAN_MAXSEP	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	7.5111470222473145	7.5111470222473145	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0JZ93	160050	185	1171	CLEAN_TOP1	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	7.5111470222473145	7.5111470222473145	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0JZ93	160050	185	1171	CLEAN_MAXSEP	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	7.5111470222473145	7.5111470222473145	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0K3L7	67514	185	1368	CLEAN_TOP1	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	7.00762414932251	7.00762414932251	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0K3L7	67514	185	1368	CLEAN_MAXSEP	EC_L3	"[""2.7.7""]"	"[""2.7.7""]"	7.00762414932251	7.00762414932251	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
A0K3L7	67514	185	1368	CLEAN_TOP1	EC_L4	"[""2.7.7.6""]"	"[""2.7.7.6""]"	7.00762414932251	7.00762414932251	1.0	1.0	CONCORDANT_OUTPUT	1	1	1	1	1.0	1	1	1	1	1	NOT_APPLICABLE			native_top10_calling_input
