phase	level	n	n_clusters	baseline	primary	budget	accepted	coverage	judge_precision	hit_precision	delta_precision_pp	delta_ci_low_pp	delta_ci_high_pp	net_correct	added_correct	new_disagreement	lost_correct	avoided_disagreement	both_accepted	neither
31	EC_L3	190	146	hit_ec4_logit	True	0.10000000000000001	19	0.10000000000000001	1	1	0	0	0	0	16	0	16	0	3	155
31	EC_L3	190	146	hit_ec4_softmax	False	0.10000000000000001	19	0.10000000000000001	1	1	0	0	0	0	16	0	16	0	3	155
31	EC_L3	190	146	hit_ec4_margin	False	0.10000000000000001	19	0.10000000000000001	1	1	0	0	0	0	16	0	16	0	3	155
31	EC_L3	190	146	hit_native_level_logit	False	0.10000000000000001	19	0.10000000000000001	1	1	0	0	0	0	10	0	10	0	9	161
31	EC_L3	190	146	hit_ec4_logit	True	0.25	47	0.24736842105263157	1	1	0	0	0	0	29	0	29	0	18	114
31	EC_L3	190	146	hit_ec4_softmax	False	0.25	47	0.24736842105263157	1	1	0	0	0	0	34	0	34	0	13	109
31	EC_L3	190	146	hit_ec4_margin	False	0.25	47	0.24736842105263157	1	1	0	0	0	0	33	0	33	0	14	110
31	EC_L3	190	146	hit_native_level_logit	False	0.25	47	0.24736842105263157	1	1	0	0	0	0	20	0	20	0	27	123
31	EC_L3	190	146	hit_ec4_logit	True	0.5	95	0.5	0.98947368421052628	1	-1.0526315789473717	-3.3707865168539297	0	-1	33	1	34	0	61	61
31	EC_L3	190	146	hit_ec4_softmax	False	0.5	95	0.5	0.98947368421052628	1	-1.0526315789473717	-3.3707865168539297	0	-1	36	1	37	0	58	58
31	EC_L3	190	146	hit_ec4_margin	False	0.5	95	0.5	0.98947368421052628	1	-1.0526315789473717	-3.3707865168539297	0	-1	33	1	34	0	61	61
31	EC_L3	190	146	hit_native_level_logit	False	0.5	95	0.5	0.98947368421052628	1	-1.0526315789473717	-3.3707865168539297	0	-1	24	1	25	0	70	70
31	EC_L3	190	146	hit_ec4_logit	True	0.75	142	0.74736842105263157	0.9859154929577465	1	-1.4084507042253502	-3.6764705882352922	0	-2	18	2	20	0	122	28
31	EC_L3	190	146	hit_ec4_softmax	False	0.75	142	0.74736842105263157	0.9859154929577465	1	-1.4084507042253502	-3.5971223021582732	1.379310344827589	-2	16	2	18	0	124	30
31	EC_L3	190	146	hit_ec4_margin	False	0.75	142	0.74736842105263157	0.9859154929577465	1	-1.4084507042253502	-3.5714285714285698	1.4184397163120588	-2	16	2	18	0	124	30
31	EC_L3	190	146	hit_native_level_logit	False	0.75	142	0.74736842105263157	0.9859154929577465	1	-1.4084507042253502	-3.6764705882352922	0	-2	15	2	17	0	125	31
31	EC_L4	180	138	hit_ec4_logit	True	0.10000000000000001	18	0.10000000000000001	1	1	0	0	0	0	14	0	14	0	4	148
31	EC_L4	180	138	hit_ec4_softmax	False	0.10000000000000001	18	0.10000000000000001	1	1	0	0	0	0	17	0	17	0	1	145
31	EC_L4	180	138	hit_ec4_margin	False	0.10000000000000001	18	0.10000000000000001	1	1	0	0	0	0	17	0	17	0	1	145
31	EC_L4	180	138	hit_native_level_logit	False	0.10000000000000001	18	0.10000000000000001	1	1	0	0	0	0	14	0	14	0	4	148
31	EC_L4	180	138	hit_ec4_logit	True	0.25	45	0.25	1	1	0	0	0	0	27	0	27	0	18	108
31	EC_L4	180	138	hit_ec4_softmax	False	0.25	45	0.25	1	1	0	0	0	0	31	0	31	0	14	104
31	EC_L4	180	138	hit_ec4_margin	False	0.25	45	0.25	1	1	0	0	0	0	30	0	30	0	15	105
31	EC_L4	180	138	hit_native_level_logit	False	0.25	45	0.25	1	1	0	0	0	0	27	0	27	0	18	108
31	EC_L4	180	138	hit_ec4_logit	True	0.5	90	0.5	1	1	0	0	0	0	30	0	30	0	60	60
31	EC_L4	180	138	hit_ec4_softmax	False	0.5	90	0.5	1	1	0	0	0	0	37	0	37	0	53	53
31	EC_L4	180	138	hit_ec4_margin	False	0.5	90	0.5	1	1	0	0	0	0	36	0	36	0	54	54
31	EC_L4	180	138	hit_native_level_logit	False	0.5	90	0.5	1	1	0	0	0	0	30	0	30	0	60	60
31	EC_L4	180	138	hit_ec4_logit	True	0.75	135	0.75	1	1	0	0	0	0	14	0	14	0	121	31
31	EC_L4	180	138	hit_ec4_softmax	False	0.75	135	0.75	1	1	0	0	1.4492753623188359	0	13	0	13	0	122	32
31	EC_L4	180	138	hit_ec4_margin	False	0.75	135	0.75	1	1	0	0	1.4814814814814836	0	14	0	14	0	121	31
31	EC_L4	180	138	hit_native_level_logit	False	0.75	135	0.75	1	1	0	0	0	0	14	0	14	0	121	31
33	EC_L3	309	252	hit_ec4_logit	True	0.10000000000000001	30	0.097087378640776698	1	1	0	0	0	0	24	0	24	0	6	255
33	EC_L3	309	252	hit_ec4_softmax	False	0.10000000000000001	30	0.097087378640776698	1	1	0	0	6.6666666666666652	0	29	0	29	0	1	250
33	EC_L3	309	252	hit_ec4_margin	False	0.10000000000000001	30	0.097087378640776698	1	1	0	0	6.9027093596058249	0	29	0	29	0	1	250
33	EC_L3	309	252	hit_native_level_logit	False	0.10000000000000001	30	0.097087378640776698	1	0.93333333333333335	6.6666666666666652	0	19.999999999999996	2	24	0	22	2	6	255
33	EC_L3	309	252	hit_ec4_logit	True	0.25	77	0.24919093851132687	0.98701298701298701	1	-1.2987012987012991	-5.0000000000000044	0	-1	56	1	57	0	20	175
