level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L3	MATCH_COUNT_X_RANK	1 | 1	293	48	264	0.9010238907849829	0.9056374614391371	-0.4613570654154242	99.0	123.0	146.0	8.0	11.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07246376811594203	0.0945945945945946	0.11304347826086956	1.0	1.0	1.0
EC_L3	MATCH_COUNT_X_RANK	1 | 2-5	212	25	196	0.9245283018867925	0.905811875361743	1.8716426525049457	67.0	74.0	105.5	6.0	8.0	10.25	1.0	1.0	1.0	1.0	1.0	1.0	0.07448866777224986	0.0931712962962963	0.1111111111111111	3.0	3.0	4.0
EC_L3	MATCH_COUNT_X_RANK	1 | 6-10	160	31	141	0.88125	0.9024231636415754	-2.11731636415754	76.0	89.0	119.5	7.0	9.0	12.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07776292335115864	0.09836171310629516	0.1165061773255814	7.0	7.0	9.0
EC_L3	MATCH_COUNT_X_RANK	1 | 11-20	283	38	258	0.911660777385159	0.9037559570041633	0.7904820380995714	84.0	121.0	138.0	8.0	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07692307692307693	0.0948905109489051	0.11475409836065574	13.0	16.0	18.0
EC_L3	MATCH_COUNT_X_RANK	1 | 21-50	802	47	726	0.9052369077306733	0.905285188094631	-0.004828036395765345	79.0	131.0	139.0	7.25	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07692307692307693	0.09333333333333334	0.11049213943950786	27.0	34.0	41.0
EC_L3	MATCH_COUNT_X_RANK	2-5 | 1	4596	228	3221	0.7008268059181897	0.6916763877584631	0.9150418159726614	79.0	117.0	134.0	7.0	10.0	13.0	3.0	4.0	5.0	3.0	4.0	4.0	0.07575757575757576	0.09411764705882353	0.11290322580645161	1.0	1.0	1.0
EC_L3	MATCH_COUNT_X_RANK	2-5 | 2-5	1019	70	722	0.7085377821393523	0.7173656634053204	-0.8827881265968118	101.5	125.0	143.0	9.0	11.0	14.0	3.0	3.0	4.0	2.0	3.0	3.0	0.0764518546272012	0.09523809523809523	0.11297335203366059	2.0	3.0	4.0
EC_L3	MATCH_COUNT_X_RANK	2-5 | 6-10	445	40	342	0.7685393258426966	0.7559378581372064	1.26014677054902	87.0	102.0	123.0	7.0	10.0	12.0	2.0	3.0	3.0	2.0	2.0	3.0	0.07526881720430108	0.09333333333333334	0.11214953271028037	6.0	7.0	8.0
EC_L3	MATCH_COUNT_X_RANK	2-5 | 11-20	332	47	277	0.8343373493975904	0.7739076694854156	6.042967991217485	97.0	129.0	140.25	8.0	11.0	14.0	2.0	2.0	3.0	2.0	2.0	3.0	0.07677627715795655	0.09427126059611704	0.11491172761664566	13.0	15.0	18.0
EC_L3	MATCH_COUNT_X_RANK	2-5 | 21-50	409	40	330	0.8068459657701712	0.8006128369538251	0.6233128816346079	123.0	134.0	144.0	9.0	12.0	15.0	2.0	2.0	2.0	1.0	2.0	2.0	0.07751937984496124	0.09420289855072464	0.11258278145695365	25.0	28.0	35.0
