level	state	applicable	queries	denominator	fraction
EC_L3	NO_DOCUMENTED_TRUTH	True	0	27639	0.0
EC_L3	NO_TRAIN_LIBRARY_SUPPORT	True	166	27639	0.006006006006006006
EC_L3	LIBRARY_SUPPORTED_MMSEQS50_MISS	True	5494	27639	0.19877709034335542
EC_L3	POST_RETRIEVAL_SAMPLING_LOSS	False	0	27639	
EC_L3	NATIVE50_MATCH_RETAINED	True	21979	27639	0.7952169036506386
EC_L4	NO_DOCUMENTED_TRUTH	True	0	27639	0.0
EC_L4	NO_TRAIN_LIBRARY_SUPPORT	True	10124	27639	0.3662940048482217
EC_L4	LIBRARY_SUPPORTED_MMSEQS50_MISS	True	4158	27639	0.15043959622272876
EC_L4	POST_RETRIEVAL_SAMPLING_LOSS	False	0	27639	
EC_L4	NATIVE50_MATCH_RETAINED	True	13357	27639	0.48326639892904955
EXACT_RHEA	NO_DOCUMENTED_TRUTH	True	1208	27639	0.04370635695936901
EXACT_RHEA	NO_TRAIN_LIBRARY_SUPPORT	True	9426	27639	0.34103983501573865
EXACT_RHEA	LIBRARY_SUPPORTED_MMSEQS50_MISS	True	4248	27639	0.15369586453923803
EXACT_RHEA	POST_RETRIEVAL_SAMPLING_LOSS	False	0	27639	
EXACT_RHEA	NATIVE50_MATCH_RETAINED	True	12757	27639	0.4615579434856543
