level	stage	denominator	positive_queries	eligible_queries	availability
EC_L3	library	all_phase12_queries	27473	27639	0.993993993993994
EC_L3	library	documented_truth	27473	27639	0.993993993993994
EC_L3	library	library_supported_truth	27473	27473	1.0
EC_L3	scored_subset	all_phase12_queries	14231	27639	0.5148883823582618
EC_L3	scored_subset	documented_truth	14231	27639	0.5148883823582618
EC_L3	scored_subset	library_supported_truth	14231	27473	0.5179994904087649
EC_L3	mmseqs_at_10	all_phase12_queries	19770	27639	0.7152936068598719
EC_L3	mmseqs_at_10	documented_truth	19770	27639	0.7152936068598719
EC_L3	mmseqs_at_10	library_supported_truth	19770	27473	0.7196156226112911
EC_L3	foldseek_at_10	all_phase12_queries	21395	27639	0.7740873403524006
EC_L3	foldseek_at_10	documented_truth	21395	27639	0.7740873403524006
EC_L3	foldseek_at_10	library_supported_truth	21395	27473	0.7787646052487898
EC_L3	union_at_10	all_phase12_queries	22186	27639	0.8027063207786099
EC_L3	union_at_10	documented_truth	22186	27639	0.8027063207786099
EC_L3	union_at_10	library_supported_truth	22186	27473	0.8075565100280275
EC_L3	mmseqs_at_20	all_phase12_queries	20591	27639	0.7449980100582511
EC_L3	mmseqs_at_20	documented_truth	20591	27639	0.7449980100582511
EC_L3	mmseqs_at_20	library_supported_truth	20591	27473	0.7494995086084519
EC_L3	foldseek_at_20	all_phase12_queries	21733	27639	0.7863164369188466
EC_L3	foldseek_at_20	documented_truth	21733	27639	0.7863164369188466
EC_L3	foldseek_at_20	library_supported_truth	21733	27473	0.7910675936373894
EC_L3	union_at_20	all_phase12_queries	22823	27639	0.8257534643076812
EC_L3	union_at_20	documented_truth	22823	27639	0.8257534643076812
EC_L3	union_at_20	library_supported_truth	22823	27473	0.830742911221927
EC_L3	mmseqs_at_50	all_phase12_queries	21979	27639	0.7952169036506386
EC_L3	mmseqs_at_50	documented_truth	21979	27639	0.7952169036506386
EC_L3	mmseqs_at_50	library_supported_truth	21979	27473	0.8000218396243585
EC_L3	foldseek_at_50	all_phase12_queries	22461	27639	0.8126560295234994
EC_L3	foldseek_at_50	documented_truth	22461	27639	0.8126560295234994
EC_L3	foldseek_at_50	library_supported_truth	22461	27473	0.8175663378589888
EC_L3	union_at_50	all_phase12_queries	24045	27639	0.8699663518940627
EC_L3	union_at_50	documented_truth	24045	27639	0.8699663518940627
EC_L3	union_at_50	library_supported_truth	24045	27473	0.8752229461653259
EC_L3	mmseqs_at_100	all_phase12_queries	22590	27639	0.8173233474438294
EC_L3	mmseqs_at_100	documented_truth	22590	27639	0.8173233474438294
EC_L3	mmseqs_at_100	library_supported_truth	22590	27473	0.8222618570960579
EC_L3	foldseek_at_100	all_phase12_queries	22594	27639	0.8174680704801187
EC_L3	foldseek_at_100	documented_truth	22594	27639	0.8174680704801187
EC_L3	foldseek_at_100	library_supported_truth	22594	27473	0.822407454591781
EC_L3	union_at_100	all_phase12_queries	24406	27639	0.8830276059191722
EC_L3	union_at_100	documented_truth	24406	27639	0.8830276059191722
EC_L3	union_at_100	library_supported_truth	24406	27473	0.8883631201543334
EC_L4	library	all_phase12_queries	17515	27639	0.6337059951517783
EC_L4	library	documented_truth	17515	27639	0.6337059951517783
EC_L4	library	library_supported_truth	17515	17515	1.0
EC_L4	scored_subset	all_phase12_queries	5151	27639	0.1863670899815478
EC_L4	scored_subset	documented_truth	5151	27639	0.1863670899815478
EC_L4	scored_subset	library_supported_truth	5151	17515	0.2940907793320011
EC_L4	mmseqs_at_10	all_phase12_queries	13189	27639	0.47718803140489885
EC_L4	mmseqs_at_10	documented_truth	13189	27639	0.47718803140489885
EC_L4	mmseqs_at_10	library_supported_truth	13189	17515	0.753011704253497
EC_L4	foldseek_at_10	all_phase12_queries	13470	27639	0.4873548247042223
EC_L4	foldseek_at_10	documented_truth	13470	27639	0.4873548247042223
EC_L4	foldseek_at_10	library_supported_truth	13470	17515	0.7690550956323151
EC_L4	union_at_10	all_phase12_queries	14099	27639	0.5101125221607149
EC_L4	union_at_10	documented_truth	14099	27639	0.5101125221607149
EC_L4	union_at_10	library_supported_truth	14099	17515	0.8049671709962889
EC_L4	mmseqs_at_20	all_phase12_queries	13257	27639	0.479648323021817
EC_L4	mmseqs_at_20	documented_truth	13257	27639	0.479648323021817
EC_L4	mmseqs_at_20	library_supported_truth	13257	17515	0.756894090779332
EC_L4	foldseek_at_20	all_phase12_queries	13537	27639	0.4897789355620681
EC_L4	foldseek_at_20	documented_truth	13537	27639	0.4897789355620681
EC_L4	foldseek_at_20	library_supported_truth	13537	17515	0.7728803882386526
EC_L4	union_at_20	all_phase12_queries	14175	27639	0.5128622598502116
EC_L4	union_at_20	documented_truth	14175	27639	0.5128622598502116
EC_L4	union_at_20	library_supported_truth	14175	17515	0.8093063088781045
EC_L4	mmseqs_at_50	all_phase12_queries	13357	27639	0.48326639892904955
EC_L4	mmseqs_at_50	documented_truth	13357	27639	0.48326639892904955
EC_L4	mmseqs_at_50	library_supported_truth	13357	17515	0.7626034827290894
EC_L4	foldseek_at_50	all_phase12_queries	13588	27639	0.4916241542747567
EC_L4	foldseek_at_50	documented_truth	13588	27639	0.4916241542747567
EC_L4	foldseek_at_50	library_supported_truth	13588	17515	0.7757921781330288
EC_L4	union_at_50	all_phase12_queries	14266	27639	0.5161547089257933
EC_L4	union_at_50	documented_truth	14266	27639	0.5161547089257933
EC_L4	union_at_50	library_supported_truth	14266	17515	0.8145018555523836
EC_L4	mmseqs_at_100	all_phase12_queries	13399	27639	0.4847859908100872
EC_L4	mmseqs_at_100	documented_truth	13399	27639	0.4847859908100872
EC_L4	mmseqs_at_100	library_supported_truth	13399	17515	0.7650014273479875
EC_L4	foldseek_at_100	all_phase12_queries	13590	27639	0.49169651579290136
EC_L4	foldseek_at_100	documented_truth	13590	27639	0.49169651579290136
EC_L4	foldseek_at_100	library_supported_truth	13590	17515	0.775906365972024
EC_L4	union_at_100	all_phase12_queries	14294	27639	0.5171677701798184
EC_L4	union_at_100	documented_truth	14294	27639	0.5171677701798184
EC_L4	union_at_100	library_supported_truth	14294	17515	0.8161004852983157
EXACT_RHEA	library	all_phase12_queries	17005	27639	0.6152538080248924
EXACT_RHEA	library	documented_truth	17005	26431	0.6433733116416329
EXACT_RHEA	library	library_supported_truth	17005	17005	1.0
EXACT_RHEA	scored_subset	all_phase12_queries	4527	27639	0.1637902963204168
EXACT_RHEA	scored_subset	documented_truth	4527	26431	0.17127615300215657
EXACT_RHEA	scored_subset	library_supported_truth	4527	17005	0.26621581887680096
EXACT_RHEA	mmseqs_at_10	all_phase12_queries	12539	27639	0.4536705380078874
EXACT_RHEA	mmseqs_at_10	documented_truth	12539	26431	0.47440505467065186
EXACT_RHEA	mmseqs_at_10	library_supported_truth	12539	17005	0.7373713613643046
EXACT_RHEA	foldseek_at_10	all_phase12_queries	12887	27639	0.4662614421650566
EXACT_RHEA	foldseek_at_10	documented_truth	12887	26431	0.48757141235670237
EXACT_RHEA	foldseek_at_10	library_supported_truth	12887	17005	0.7578359306086445
EXACT_RHEA	union_at_10	all_phase12_queries	13401	27639	0.4848583523282318
EXACT_RHEA	union_at_10	documented_truth	13401	26431	0.5070182739964436
EXACT_RHEA	union_at_10	library_supported_truth	13401	17005	0.7880623346074684
EXACT_RHEA	mmseqs_at_20	all_phase12_queries	12618	27639	0.4565288179746011
EXACT_RHEA	mmseqs_at_20	documented_truth	12618	26431	0.47739396920283
EXACT_RHEA	mmseqs_at_20	library_supported_truth	12618	17005	0.7420170538077037
EXACT_RHEA	foldseek_at_20	all_phase12_queries	12941	27639	0.4682152031549622
EXACT_RHEA	foldseek_at_20	documented_truth	12941	26431	0.4896144678597102
EXACT_RHEA	foldseek_at_20	library_supported_truth	12941	17005	0.7610114672155248
EXACT_RHEA	union_at_20	all_phase12_queries	13480	27639	0.48771663229494555
EXACT_RHEA	union_at_20	documented_truth	13480	26431	0.5100071885286217
EXACT_RHEA	union_at_20	library_supported_truth	13480	17005	0.7927080270508674
EXACT_RHEA	mmseqs_at_50	all_phase12_queries	12757	27639	0.4615579434856543
EXACT_RHEA	mmseqs_at_50	documented_truth	12757	26431	0.48265294540501685
EXACT_RHEA	mmseqs_at_50	library_supported_truth	12757	17005	0.7501911202587475
EXACT_RHEA	foldseek_at_50	all_phase12_queries	12990	27639	0.46998806034950613
EXACT_RHEA	foldseek_at_50	documented_truth	12990	26431	0.49146835155688395
EXACT_RHEA	foldseek_at_50	library_supported_truth	12990	17005	0.7638929726551015
EXACT_RHEA	union_at_50	all_phase12_queries	13609	27639	0.49238395021527553
EXACT_RHEA	union_at_50	documented_truth	13609	26431	0.5148878211191404
EXACT_RHEA	union_at_50	library_supported_truth	13609	17005	0.8002940311673037
EXACT_RHEA	mmseqs_at_100	all_phase12_queries	12865	27639	0.46546546546546547
EXACT_RHEA	mmseqs_at_100	documented_truth	12865	26431	0.4867390564110325
EXACT_RHEA	mmseqs_at_100	library_supported_truth	12865	17005	0.7565421934725081
