level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L3	BEST_MODALITY_FIRST_MATCH_RANK	1	19515	1009	6505	0.3333333333333333	0.33235916721086367	0.0974166122469644	78.0	117.0	134.0	7.0	10.0	13.0	5.0	13.0	26.0	5.0	10.0	20.0	0.07462686567164178	0.09333333333333334	0.11347517730496454	1.0	1.0	1.0
EC_L3	BEST_MODALITY_FIRST_MATCH_RANK	2-5	2016	141	1209	0.5997023809523809	0.6088631981002148	-0.91608171478339	99.0	120.0	139.0	8.0	11.0	14.0	3.0	4.0	7.0	3.0	3.0	5.0	0.07575757575757576	0.09375	0.11254401408450704	2.0	3.0	4.0
EC_L3	BEST_MODALITY_FIRST_MATCH_RANK	6-10	655	66	495	0.7557251908396947	0.7606225799636701	-0.4897389123975415	84.0	101.0	126.0	7.0	10.0	12.0	2.0	2.0	3.0	1.0	2.0	3.0	0.0760699216395419	0.09523809523809523	0.11254139072847683	6.0	7.0	8.0
EC_L3	BEST_MODALITY_FIRST_MATCH_RANK	11-20	637	72	543	0.8524332810047096	0.8189541835274332	3.34790974772764	91.0	126.0	140.0	8.0	11.0	14.0	1.0	2.0	2.0	1.0	1.0	2.0	0.07692307692307693	0.09433962264150944	0.11475409836065574	13.0	15.0	18.0
EC_L3	BEST_MODALITY_FIRST_MATCH_RANK	21-50	1222	72	1062	0.8690671031096563	0.8663410603749495	0.27260427347067795	91.0	132.0	141.0	8.0	11.0	14.0	1.0	1.0	2.0	1.0	1.0	1.0	0.07692307692307693	0.09342925659472423	0.1111111111111111	26.0	32.0	39.0
EC_L4	BEST_MODALITY_FIRST_MATCH_RANK	1	13090	732	8261	0.6310924369747899	0.6264871329281949	0.46053040465949824	80.0	116.0	134.0	7.0	10.0	13.0	2.0	4.0	7.0	2.0	3.0	5.0	0.07446808510638298	0.09322033898305085	0.1134020618556701	1.0	1.0	1.0
EC_L4	BEST_MODALITY_FIRST_MATCH_RANK	2-5	924	107	652	0.7056277056277056	0.7072068064267284	-0.15791007990227923	124.0	137.0	150.0	10.0	13.0	15.0	3.0	3.0	3.0	2.0	3.0	3.0	0.07692307692307693	0.0944139058089437	0.1111111111111111	2.0	3.0	4.0
EC_L4	BEST_MODALITY_FIRST_MATCH_RANK	6-10	85	32	66	0.7764705882352941	0.7505435513501477	2.5927036885146415	100.0	123.0	143.0	8.0	11.0	15.0	1.0	2.0	4.0	1.0	2.0	3.0	0.07317073170731707	0.0967741935483871	0.11347517730496454	7.0	8.0	8.0
EC_L4	BEST_MODALITY_FIRST_MATCH_RANK	11-20	76	33	62	0.8157894736842105	0.8001387559694034	1.5650717714807083	117.25	130.0	143.75	8.0	10.0	14.0	1.0	1.0	4.0	1.0	1.0	2.0	0.06805365686944634	0.08055002580550026	0.1111111111111111	12.0	14.0	18.0
EC_L4	BEST_MODALITY_FIRST_MATCH_RANK	21-50	91	32	74	0.8131868131868132	0.8410631686564181	-2.7876355469604874	71.5	123.0	139.0	6.0	9.0	13.0	1.0	1.0	2.0	1.0	1.0	2.0	0.06960594315245477	0.08695652173913043	0.11659170414792604	25.0	30.0	42.0
EXACT_RHEA	BEST_MODALITY_FIRST_MATCH_RANK	1	12477	603	8226	0.659293099302717	0.6565094335414287	0.2783665761288301	79.0	116.0	134.0	7.0	10.0	13.0	2.0	3.0	5.0	2.0	3.0	5.0	0.0743801652892562	0.09302325581395349	0.11320754716981132	1.0	1.0	1.0
EXACT_RHEA	BEST_MODALITY_FIRST_MATCH_RANK	2-5	847	86	620	0.731995277449823	0.7377999925760874	-0.5804715126264459	124.0	137.0	149.0	10.0	13.0	15.0	2.0	3.0	3.0	2.0	3.0	3.0	0.07692307692307693	0.09448818897637795	0.11225454163603907	2.0	3.0	4.0
EXACT_RHEA	BEST_MODALITY_FIRST_MATCH_RANK	6-10	77	30	63	0.8181818181818182	0.8019665456729973	1.6215272508820933	97.0	122.0	136.0	8.0	11.0	14.0	1.0	2.0	2.0	1.0	2.0	2.0	0.07216494845360824	0.09615384615384616	0.11363636363636363	7.0	7.0	8.0
EXACT_RHEA	BEST_MODALITY_FIRST_MATCH_RANK	11-20	79	26	64	0.810126582278481	0.8250201941428718	-1.4893611864390754	119.0	132.0	141.5	8.0	11.0	15.0	1.0	1.0	3.0	1.0	1.0	2.0	0.06933760683760684	0.08717948717948718	0.11290322580645161	12.0	14.0	17.0
EXACT_RHEA	BEST_MODALITY_FIRST_MATCH_RANK	21-50	129	30	109	0.8449612403100775	0.8723171254744102	-2.735588516433274	103.0	130.0	138.0	8.0	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07462686567164178	0.09090909090909091	0.11409395973154363	26.0	31.0	42.0
