level	group	modality	rank_bin	queries	denominator_queries	fraction	clusters
EC_L3	lost	MMseqs2	1	5304	9814	0.5404524149174649	437
EC_L3	lost	MMseqs2	2-5	865	9814	0.08813939270429998	97
EC_L3	lost	MMseqs2	6-10	524	9814	0.053393111880986346	60
EC_L3	lost	MMseqs2	11-20	546	9814	0.05563480741797432	73
EC_L3	lost	MMseqs2	21-50	1006	9814	0.10250662319135928	96
EC_L3	lost	MMseqs2	>50/no match	1569	9814	0.15987364988791522	104
EC_L3	lost	Foldseek	1	6257	9814	0.6375585897697167	433
EC_L3	lost	Foldseek	2-5	1076	9814	0.1096392908090483	77
EC_L3	lost	Foldseek	6-10	409	9814	0.04167515793764011	36
EC_L3	lost	Foldseek	11-20	287	9814	0.029243937232524966	32
EC_L3	lost	Foldseek	21-50	606	9814	0.06174852251885062	33
EC_L3	lost	Foldseek	>50/no match	1179	9814	0.12013450173221928	118
EC_L3	lost	Best modality	1	6505	9814	0.6628286121866721	478
EC_L3	lost	Best modality	2-5	1209	9814	0.12319135928265743	92
EC_L3	lost	Best modality	6-10	495	9814	0.05043814958222947	54
EC_L3	lost	Best modality	11-20	543	9814	0.055329121662930504	65
EC_L3	lost	Best modality	21-50	1062	9814	0.1082127572855105	69
EC_L3	lost	Best modality	>50/no match	0	9814	0.0	0
EC_L3	retained	MMseqs2	1	11852	14231	0.8328297378961422	834
EC_L3	retained	MMseqs2	2-5	889	14231	0.06246925725528775	120
EC_L3	retained	MMseqs2	6-10	336	14231	0.023610427939006393	78
EC_L3	retained	MMseqs2	11-20	275	14231	0.0193240109619844	72
EC_L3	retained	MMseqs2	21-50	382	14231	0.026842807954465604	66
EC_L3	retained	MMseqs2	>50/no match	497	14231	0.034923757993113626	63
EC_L3	retained	Foldseek	1	12623	14231	0.8870072377204694	809
EC_L3	retained	Foldseek	2-5	875	14231	0.06148548942449582	102
EC_L3	retained	Foldseek	6-10	155	14231	0.010891715269482117	24
EC_L3	retained	Foldseek	11-20	51	14231	0.0035837256693134704	20
EC_L3	retained	Foldseek	21-50	122	14231	0.008572833954043988	25
EC_L3	retained	Foldseek	>50/no match	405	14231	0.02845899796219521	116
EC_L3	retained	Best modality	1	13010	14231	0.9142013913287893	880
EC_L3	retained	Best modality	2-5	807	14231	0.05670718853207786	104
EC_L3	retained	Best modality	6-10	160	14231	0.011243060923336379	36
EC_L3	retained	Best modality	11-20	94	14231	0.006605298292460122	34
EC_L3	retained	Best modality	21-50	160	14231	0.011243060923336379	30
EC_L3	retained	Best modality	>50/no match	0	14231	0.0	0
EC_L4	lost	MMseqs2	1	7693	9115	0.843993417443774	458
EC_L4	lost	MMseqs2	2-5	484	9115	0.053099286889742185	83
EC_L4	lost	MMseqs2	6-10	81	9115	0.00888645090510148	25
EC_L4	lost	MMseqs2	11-20	48	9115	0.005266044980800877	22
EC_L4	lost	MMseqs2	21-50	78	9115	0.008557323093801427	30
EC_L4	lost	MMseqs2	>50/no match	731	9115	0.08019747668678004	87
EC_L4	lost	Foldseek	1	7819	9115	0.8578167855183763	434
EC_L4	lost	Foldseek	2-5	692	9115	0.07591881513987932	83
EC_L4	lost	Foldseek	6-10	54	9115	0.0059243006034009876	20
EC_L4	lost	Foldseek	11-20	53	9115	0.005814591332967636	23
EC_L4	lost	Foldseek	21-50	36	9115	0.003949533735600658	17
EC_L4	lost	Foldseek	>50/no match	461	9115	0.05057597366977509	95
EC_L4	lost	Best modality	1	8261	9115	0.9063082830499177	487
EC_L4	lost	Best modality	2-5	652	9115	0.07153044432254525	83
EC_L4	lost	Best modality	6-10	66	9115	0.0072408118486012064	31
EC_L4	lost	Best modality	11-20	62	9115	0.006801974766867801	30
EC_L4	lost	Best modality	21-50	74	9115	0.00811848601206802	31
EC_L4	lost	Best modality	>50/no match	0	9115	0.0	0
EC_L4	retained	MMseqs2	1	4668	5151	0.9062317996505533	512
EC_L4	retained	MMseqs2	2-5	230	5151	0.044651523975927004	69
EC_L4	retained	MMseqs2	6-10	33	5151	0.0064065230052417	18
EC_L4	retained	MMseqs2	11-20	20	5151	0.0038827412152980002	16
EC_L4	retained	MMseqs2	21-50	22	5151	0.0042710153368278	12
EC_L4	retained	MMseqs2	>50/no match	178	5151	0.034556396816152204	34
EC_L4	retained	Foldseek	1	4590	5151	0.8910891089108911	475
EC_L4	retained	Foldseek	2-5	293	5151	0.05688215880411571	66
EC_L4	retained	Foldseek	6-10	22	5151	0.0042710153368278	12
EC_L4	retained	Foldseek	11-20	14	5151	0.0027179188507086	10
EC_L4	retained	Foldseek	21-50	15	5151	0.0029120559114735	8
EC_L4	retained	Foldseek	>50/no match	217	5151	0.0421277421859833	74
EC_L4	retained	Best modality	1	4829	5151	0.9374878664337022	536
EC_L4	retained	Best modality	2-5	272	5151	0.052805280528052806	56
EC_L4	retained	Best modality	6-10	19	5151	0.0036886041545331006	10
