protein_id	node_id	component_id	sequence_length	length_stratum	level	truth_labels	predicted_label	state	library_match	saved_union_match	top50_match	siteguard_concordant	winner_source_row	winner_reference	winner_activity	winner_score	best_matching_score	top_score_tied_activity_rows	top_score_tied_labels	top_score_has_matching_label	first_matching_rrf_rank	top50_activity_rows	top50_reference_proteins	clean_concordant
A0A078BQP2	63709	846	1034	GT_1022	EC_L3	"[""4.6.1""]"	4.6.1	CONCORDANT_TOP1	1	1	1	1	137	Q19187	Q19187::RAW::RHEA:13665::1	0.44953153	0.44953153	1	1	1	1.0	77	50	1
A0A078BQP2	63709	846	1034	GT_1022	EC_L4	"[""4.6.1.2""]"	4.6.1.1	CALIBRATED_TIE_LOSS	1	1	1	0	78	P0A4Y1	P0A4Y1::RAW::RHEA:15389::1	0.24014673	0.24014673	10	2	1	1.0	77	50	1
A0A0U1RPR8	57057	846	1117	GT_1022	EC_L3	"[""4.6.1""]"	2.7.10	STRICT_SCORE_LOSS	1	1	1	0	2654	P00521	P00521::RAW::RHEA-COMP:10136::1	0.44953153	0.4375446	6	2	0	1.0	71	50	0
A0A0U1RPR8	57057	846	1117	GT_1022	EC_L4	"[""4.6.1.2""]"	4.6.1.1	CALIBRATED_TIE_LOSS	1	1	1	0	2661	P0A4Y1	P0A4Y1::RAW::RHEA:15389::1	0.24014673	0.24014673	12	2	1	1.0	71	50	0
A0A1T4LJ54	80690	52363	286	LE_1022	EC_L3	"[""4.6.1""]"	4.6.1	CONCORDANT_TOP1	1	1	1	1	6260	Q553Y7	Q553Y7::RAW::RHEA:13665::1	0.4375446	0.4375446	1	1	1	1.0	56	50	1
A0A1T4LJ54	80690	52363	286	LE_1022	EC_L4	"[""4.6.1.26""]"	4.6.1.26	CONCORDANT_TOP1	1	1	1	1	6086	A0A0J5ZXG5	A0A0J5ZXG5::RAW::RHEA:69603::1	0.24014673	0.24014673	2	2	1	1.0	56	50	0
A0A2H5BHJ6	101278	154	387	LE_1022	EC_L3	"[""6.3.4""]"	5.6.2	STRICT_SCORE_LOSS	1	1	1	0	7000	P50758	P50758::RAW::5.6.2.4::1	0.12826218	0.09501836	3	1	0	1.0	87	50	1
A0A2H5BHJ6	101278	154	387	LE_1022	EC_L4	"[""6.3.4.25""]"	5.6.2.4	NO_LIBRARY_SUPPORT	0	0	0	0	7000	P50758	P50758::RAW::5.6.2.4::1	0.047986075		1	1	0		87	50	0
A0A327	92034	185	1066	GT_1022	EC_L3	"[""2.7.7""]"	2.7.7	CONCORDANT_TOP1	1	1	1	1	7891	B0R8D6	B0R8D6::RAW::RHEA-COMP:14527::1	0.96648043	0.96648043	2	1	1	1.0	71	50	1
A0A327	92034	185	1066	GT_1022	EC_L4	"[""2.7.7.6""]"	2.7.7.6	CONCORDANT_TOP1	1	1	1	1	7858	A0A7H0DNC3	A0A7H0DNC3::RAW::RHEA-COMP:14527::1	1.0	1.0	1	1	1	1.0	71	50	1
A0A385AJM6	4551	4551	358	LE_1022	EC_L3	"[""4.2.3""]"	2.5.1	STRICT_SCORE_LOSS	1	1	1	0	8586	Q6EI12	Q6EI12::RAW::RHEA:34475::1	0.44953153	0.42351225	1	1	0	1.0	82	50	1
A0A385AJM6	4551	4551	358	LE_1022	EC_L4	"[""4.2.3.198"", ""4.2.3.73"", ""4.2.3.86""]"	4.2.3.160	ABSENT_FROM_SAVED_UNION	1	0	0	0	8566	Q54P86	Q54P86::RAW::RHEA:53628::1	0.24014673		3	3	0		82	50	0
A0A7U3TBV6	110152	154	359	LE_1022	EC_L3	"[""6.3.4""]"	2.8.2	STRICT_SCORE_LOSS	1	1	1	0	11756	O60507	O60507::RAW::RHEA-COMP:10136::1	0.12826218	0.01732194	2	2	0	1.0	80	50	0
A0A7U3TBV6	110152	154	359	LE_1022	EC_L4	"[""6.3.4.25""]"	2.3.2.27	NO_LIBRARY_SUPPORT	0	0	0	0	11844	Q9VMA0	Q9VMA0::RAW::2.3.2.27::1	0.023921086		1	1	0		80	50	0
A0AF63	58383	185	1184	GT_1022	EC_L3	"[""2.7.7""]"	2.7.7	CONCORDANT_TOP1	1	1	1	1	13959	P09844	P09844::RAW::RHEA-COMP:14527::1	0.75454545	0.75454545	2	1	1	1.0	72	50	1
A0AF63	58383	185	1184	GT_1022	EC_L4	"[""2.7.7.6""]"	2.7.7.6	CONCORDANT_TOP1	1	1	1	1	13963	P0DST4	P0DST4::RAW::RHEA-COMP:14527::1	1.0	1.0	1	1	1	1.0	72	50	1
A0JZ93	160050	185	1171	GT_1022	EC_L3	"[""2.7.7""]"	2.7.7	CONCORDANT_TOP1	1	1	1	1	22671	P41558	P41558::RAW::RHEA-COMP:14527::1	0.96648043	0.96648043	1	1	1	1.0	59	50	1
A0JZ93	160050	185	1171	GT_1022	EC_L4	"[""2.7.7.6""]"	2.7.7.6	CONCORDANT_TOP1	1	1	1	1	22651	P0DST4	P0DST4::RAW::RHEA-COMP:14527::1	1.0	1.0	1	1	1	1.0	59	50	1
A0K3L7	67514	185	1368	GT_1022	EC_L3	"[""2.7.7""]"	2.7.7	CONCORDANT_TOP1	1	1	1	1	23040	Q58444	Q58444::RAW::RHEA-COMP:14527::1	0.96648043	0.96648043	1	1	1	1.0	64	50	1
A0K3L7	67514	185	1368	GT_1022	EC_L4	"[""2.7.7.6""]"	2.7.7.6	CONCORDANT_TOP1	1	1	1	1	22940	A0A7H0DNC3	A0A7H0DNC3::RAW::RHEA-COMP:14527::1	0.98333335	0.98333335	3	1	1	1.0	64	50	1
A0KQA5	67230	185	1342	GT_1022	EC_L3	"[""2.7.7""]"	2.7.7	CONCORDANT_TOP1	1	1	1	1	31286	Q58444	Q58444::RAW::RHEA-COMP:14527::1	0.96648043	0.96648043	1	1	1	1.0	66	50	1
A0KQA5	67230	185	1342	GT_1022	EC_L4	"[""2.7.7.6""]"	2.7.7.6	CONCORDANT_TOP1	1	1	1	1	31287	Q5GRY9	Q5GRY9::RAW::RHEA-COMP:14527::1	0.98333335	0.98333335	1	1	1	1.0	66	50	1
A0KRL7	25520	185	1345	GT_1022	EC_L3	"[""2.7.7""]"	2.7.7	CONCORDANT_TOP1	1	1	1	1	32289	Q58444	Q58444::RAW::RHEA-COMP:14527::1	0.91812867	0.91812867	1	1	1	1.0	66	50	1
A0KRL7	25520	185	1345	GT_1022	EC_L4	"[""2.7.7.6""]"	2.7.7.6	CONCORDANT_TOP1	1	1	1	1	32182	A0A7H0DNC3	A0A7H0DNC3::RAW::RHEA-COMP:14527::1	0.98333335	0.98333335	2	1	1	1.0	66	50	1
