level	state	queries	denominator_all	fraction_all
EC_L3	NO_DOCUMENTED_TRUTH	0	27639	0.0
EC_L3	NO_TRAIN_LIBRARY_SUPPORT	166	27639	0.006006006006006006
EC_L3	LIBRARY_SUPPORTED_UNION50_MISS	3428	27639	0.12402764209993125
EC_L3	UNION50_POSITIVE_SCORED_SUBSET_MISS	9814	27639	0.35507796953580084
EC_L3	SCORED_SUBSET_POSITIVE	14231	27639	0.5148883823582618
EC_L4	NO_DOCUMENTED_TRUTH	0	27639	0.0
EC_L4	NO_TRAIN_LIBRARY_SUPPORT	10124	27639	0.3662940048482217
EC_L4	LIBRARY_SUPPORTED_UNION50_MISS	3249	27639	0.11755128622598503
EC_L4	UNION50_POSITIVE_SCORED_SUBSET_MISS	9115	27639	0.32978761894424546
EC_L4	SCORED_SUBSET_POSITIVE	5151	27639	0.1863670899815478
EXACT_RHEA	NO_DOCUMENTED_TRUTH	1208	27639	0.04370635695936901
EXACT_RHEA	NO_TRAIN_LIBRARY_SUPPORT	9426	27639	0.34103983501573865
EXACT_RHEA	LIBRARY_SUPPORTED_UNION50_MISS	3396	27639	0.12286985780961684
EXACT_RHEA	UNION50_POSITIVE_SCORED_SUBSET_MISS	9082	27639	0.32859365389485873
EXACT_RHEA	SCORED_SUBSET_POSITIVE	4527	27639	0.1637902963204168
