budget	level	queries_total	oracle_matching_queries	oracle_fraction	top1_evaluable_queries	top1_concordant_queries	top1_concordant_fraction_all_queries
10	EC_L3	20637	14277	0.6918156708823957	20637	11374	0.5511459999030867
10	EC_L4	20637	8480	0.4109124388234724	20637	4277	0.20724911566603674
10	EXACT_RHEA	20637	8357	0.4049522701943112	19377	5316	0.2575955807530164
25	EC_L3	20637	14891	0.7215680573726801	20637	11158	0.5406793623104134
25	EC_L4	20637	8738	0.4234142559480545	20637	4107	0.19901148422735862
25	EXACT_RHEA	20637	8614	0.4174056306633716	19377	5044	0.24441537045113146
50	EC_L3	20637	15331	0.7428889858022	20637	10753	0.5210544168241508
50	EC_L4	20637	8876	0.4301012744100402	20637	4082	0.19780006783931772
50	EXACT_RHEA	20637	8744	0.42370499588118427	19377	4820	0.23356107961428502
ALL	EC_L3	20637	16522	0.8006008625284683	20637	10697	0.5183408441149392
ALL	EC_L4	20637	9038	0.43795125260454526	20637	4025	0.19503803847458448
ALL	EXACT_RHEA	20637	8878	0.4301981877210835	19377	4654	0.22551727479769346
