level	metric	numerator	denominator	value
EC_L3	emission_coverage_all	27639	27639	1.0
EC_L3	emission_coverage_evaluable	27639	27639	1.0
EC_L3	query_any_match_evaluable	17156	27639	0.6207171026448135
EC_L3	query_any_match_emitted_evaluable	17156	27639	0.6207171026448135
EC_L3	micro_concordance_precision	17338	30431	0.5697479543886169
EC_L3	micro_concordance_recall	17338	28331	0.6119798101020084
EC_L3	macro_emitted_set_precision	16271.616666666756	27639	0.5887194423339034
EC_L4	emission_coverage_all	27639	27639	1.0
EC_L4	emission_coverage_evaluable	27639	27639	1.0
EC_L4	query_any_match_evaluable	12361	27639	0.4472303628930135
EC_L4	query_any_match_emitted_evaluable	12361	27639	0.4472303628930135
EC_L4	micro_concordance_precision	12964	32810	0.3951234379762268
EC_L4	micro_concordance_recall	12964	29603	0.4379285883187515
EC_L4	macro_emitted_set_precision	11267.76666666672	27639	0.40767635104984695
EXACT_RHEA	emission_coverage_all	26337	27639	0.9528926516878324
EXACT_RHEA	emission_coverage_evaluable	26045	26431	0.9853959365896107
EXACT_RHEA	query_any_match_evaluable	11727	26431	0.4436835534032008
EXACT_RHEA	query_any_match_emitted_evaluable	11727	26045	0.4502591668266462
EXACT_RHEA	micro_concordance_precision	13787	38789	0.3554358194333445
EXACT_RHEA	micro_concordance_recall	13787	32813	0.42016883552250633
EXACT_RHEA	macro_emitted_set_precision	10524.751953601917	26045	0.4040987503782652
