level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L3	FROZEN_LINEAGE_STATE	NO_DOCUMENTED_TRUTH	0	0	0																					
EC_L3	FROZEN_LINEAGE_STATE	NO_TRAIN_LIBRARY_SUPPORT	166	10	0	0.0			118.25	128.0	135.75	9.25	12.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08038026842477042	0.0943455437635513	0.10930397727272727	101.0	101.0	101.0
EC_L3	FROZEN_LINEAGE_STATE	LIBRARY_SUPPORTED_UNION50_MISS	3428	133	0	0.0			81.0	115.0	134.0	7.0	10.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.09448818897637795	0.11404980572235959	101.0	101.0	101.0
EC_L3	FROZEN_LINEAGE_STATE	UNION50_POSITIVE_SCORED_SUBSET_MISS	9814	608	9814	1.0	0.6472767303957934	35.27232696042066	83.0	120.0	136.0	7.0	10.0	13.0	2.0	4.0	7.0	2.0	4.0	6.0	0.07142857142857142	0.08888888888888889	0.10810810810810811	1.0	1.0	4.0
EC_L3	FROZEN_LINEAGE_STATE	SCORED_SUBSET_POSITIVE	14231	976	0	0.0	0.24170008460031542	-24.170008460031543	79.0	116.0	135.0	7.0	11.0	14.0	9.0	18.0	32.0	7.0	14.0	24.0	0.078125	0.0963855421686747	0.1165644171779141	1.0	1.0	1.0
EC_L4	FROZEN_LINEAGE_STATE	NO_DOCUMENTED_TRUTH	0	0	0																					
EC_L4	FROZEN_LINEAGE_STATE	NO_TRAIN_LIBRARY_SUPPORT	10124	335	0	0.0			83.0	120.0	135.0	8.0	10.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07575757575757576	0.09420289855072464	0.11342034071799371	101.0	101.0	101.0
EC_L4	FROZEN_LINEAGE_STATE	LIBRARY_SUPPORTED_UNION50_MISS	3249	170	0	0.0			73.0	102.0	131.0	7.0	9.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.09333333333333334	0.1134020618556701	101.0	101.0	101.0
EC_L4	FROZEN_LINEAGE_STATE	UNION50_POSITIVE_SCORED_SUBSET_MISS	9115	576	9115	1.0	0.730479149980017	26.952085001998306	83.0	121.0	136.0	7.0	10.0	13.0	2.0	3.0	4.0	2.0	3.0	4.0	0.07142857142857142	0.0898876404494382	0.10894262503173394	1.0	1.0	1.0
EC_L4	FROZEN_LINEAGE_STATE	SCORED_SUBSET_POSITIVE	5151	594	0	0.0	0.46534686522358476	-46.53468652235848	79.0	114.0	133.5	8.0	11.0	14.0	3.0	6.0	13.0	3.0	5.0	9.0	0.08053691275167785	0.0990990990990991	0.11965811965811966	1.0	1.0	1.0
EXACT_RHEA	FROZEN_LINEAGE_STATE	NO_DOCUMENTED_TRUTH	1208	199	0	0.0			100.0	124.0	138.0	8.0	11.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.09268804887361588	0.11190115854294959	101.0	101.0	101.0
EXACT_RHEA	FROZEN_LINEAGE_STATE	NO_TRAIN_LIBRARY_SUPPORT	9426	303	0	0.0			80.0	116.0	135.0	7.0	10.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07575757575757576	0.09433962264150944	0.11363636363636363	101.0	101.0	101.0
EXACT_RHEA	FROZEN_LINEAGE_STATE	LIBRARY_SUPPORTED_UNION50_MISS	3396	148	0	0.0			75.0	109.5	134.0	7.0	10.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07563025210084033	0.09352517985611511	0.11290322580645161	101.0	101.0	101.0
EXACT_RHEA	FROZEN_LINEAGE_STATE	UNION50_POSITIVE_SCORED_SUBSET_MISS	9082	499	9082	1.0	0.7492998581701231	25.070014182987688	81.0	120.0	136.0	7.0	10.0	13.0	2.0	3.0	4.0	2.0	3.0	4.0	0.07190718013824235	0.09022556390977443	0.1092436974789916	1.0	1.0	1.0
EXACT_RHEA	FROZEN_LINEAGE_STATE	SCORED_SUBSET_POSITIVE	4527	482	0	0.0	0.49712843221727404	-49.712843221727404	79.0	116.0	135.0	8.0	11.0	14.0	3.0	5.0	12.0	3.0	5.0	9.0	0.08064516129032258	0.09933774834437085	0.11988023952095808	1.0	1.0	1.0
