level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L3	MATCHING_ACTIVITY_COUNT	1	1750	128	1585	0.9057142857142857	0.9048990037971892	0.08152819170964554	77.0	121.0	137.0	7.0	10.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07575757575757576	0.09433962264150944	0.11267605633802817	4.0	18.0	33.0
EC_L3	MATCHING_ACTIVITY_COUNT	2-5	6801	320	4892	0.7193059844140568	0.710295637788891	0.9010346625165755	85.0	120.0	136.0	8.0	10.0	14.0	2.0	4.0	4.0	2.0	3.0	4.0	0.0759493670886076	0.09420289855072464	0.11278195488721804	1.0	1.0	3.0
EC_L3	MATCHING_ACTIVITY_COUNT	6-10	4380	339	2004	0.4575342465753425	0.46473225958181125	-0.7198013006468773	86.0	117.0	132.0	7.0	10.0	13.0	7.0	8.0	9.0	5.0	6.0	8.0	0.07462686567164178	0.09349156189067437	0.11458333333333333	1.0	1.0	1.0
EC_L3	MATCHING_ACTIVITY_COUNT	>10	11114	730	1333	0.11993881590786395	0.1207653904836912	-0.08265745758272436	78.0	116.0	136.0	7.0	10.0	13.0	16.0	24.0	36.0	12.0	19.0	27.0	0.07446808510638298	0.09285714285714286	0.11290322580645161	1.0	1.0	1.0
EC_L4	MATCHING_ACTIVITY_COUNT	1	1656	178	1493	0.9015700483091788	0.9062592864941657	-0.4689238184986899	92.0	124.0	139.0	8.0	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07289942052980133	0.09322033898305085	0.1129382889200561	1.0	1.0	1.0
EC_L4	MATCHING_ACTIVITY_COUNT	2-5	8255	349	6096	0.7384615384615385	0.7362241006104897	0.22374378510487958	86.0	121.0	136.0	8.0	11.0	14.0	2.0	3.0	4.0	2.0	3.0	4.0	0.07575757575757576	0.09375	0.1134020618556701	1.0	1.0	1.0
EC_L4	MATCHING_ACTIVITY_COUNT	6-10	2165	202	1102	0.5090069284064666	0.4986267674324509	1.0380160974015673	72.0	110.0	131.0	6.0	9.0	12.0	6.0	7.0	8.0	4.0	6.0	8.0	0.07246376811594203	0.09090909090909091	0.11224489795918367	1.0	1.0	1.0
EC_L4	MATCHING_ACTIVITY_COUNT	>10	2190	297	424	0.19360730593607306	0.18150542208646273	1.2101883849610333	78.0	108.0	133.0	7.0	10.0	13.0	12.0	16.0	27.0	7.0	11.0	20.0	0.0743801652892562	0.09265391219033603	0.11363636363636363	1.0	1.0	1.0
EXACT_RHEA	MATCHING_ACTIVITY_COUNT	1	1956	169	1762	0.9008179959100204	0.9060889351899389	-0.5270939279918507	93.0	124.0	138.0	8.0	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07339449541284404	0.09333333333333334	0.11267605633802817	1.0	1.0	1.0
EXACT_RHEA	MATCHING_ACTIVITY_COUNT	2-5	8442	314	6222	0.7370291400142146	0.7355528393809041	0.1476300633310501	80.0	117.0	135.0	7.0	10.0	13.0	2.0	3.0	4.0	2.0	3.0	4.0	0.075	0.09345794392523364	0.1130952380952381	1.0	1.0	1.0
EXACT_RHEA	MATCHING_ACTIVITY_COUNT	6-10	1834	165	930	0.5070883315158125	0.48977994149038473	1.7308390025427722	74.0	113.0	133.0	7.0	9.0	13.0	6.0	7.0	8.0	6.0	6.0	8.0	0.07317073170731707	0.09154929577464789	0.11363636363636363	1.0	1.0	1.0
EXACT_RHEA	MATCHING_ACTIVITY_COUNT	>10	1377	211	168	0.12200435729847495	0.1274787832753668	-0.547442597689185	91.0	118.0	141.0	8.0	11.0	14.0	15.0	24.0	38.0	9.0	13.0	38.0	0.07471264367816093	0.09278350515463918	0.11304347826086956	1.0	1.0	1.0
