level	event	cluster_id_30	cluster_queries	event_queries	within_cluster_fraction	leave_this_cluster_out_fraction
EC_L3	NO_DOCUMENTED_TRUTH	A0A024SC78	4	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0A1GNF2	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0A8X5N4	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0E0S977	2	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0H2V660	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0H2ZJS2	2	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0H3JGH6	3	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0H3JU78	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0H3L1B8	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0K2JLU1	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0M8N9Q3	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0N9HQ36	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0S1RVB0	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A0U5GNT1	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A151V4J3	5	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1D3PCI9	11	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1D8PNZ7	3	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1D9QMS2	5	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1E5RUL9	9	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1I4KS07	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1L3THR9	3	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1L7T8M0	4	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1P8B760	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1S3WYR7	91	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A1Y1C7Q5	21	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A2J8C362	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A314KSQ4	5	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A345BJN2	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A384LP51	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A385AJM6	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A482PJF5	1	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A5D0EMF2	3	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A5J6BJP2	20	0	0.0	0.0
EC_L3	NO_DOCUMENTED_TRUTH	A0A6M7H989	2	0	0.0	0.0
