match_id	high_pair_set	high_query_protein_id	high_reference_protein_id	high_reference_activity_id	low_query_protein_id	low_reference_protein_id	low_reference_activity_id	high_local_score	low_local_score	high_global_propensity	low_global_propensity	sequence_identity_gap	esm2_similarity_gap	high_EC_L3	low_EC_L3	high_EC_L4	low_EC_L4	high_EXACT_RHEA	low_EXACT_RHEA
1	population	Q9FCA7	O67648	O67648::RAW::RHEA:67816::1	P70997	P9WGK1	P9WGK1::RAW::2.7.13.3::1	0.9338317558997207	0.4780882836474727	0.03761819185253608	0.022447642035078708	0.008000001311302185	0.03103029727935791	0	0	0	0	0	0
2	population	Q1CGT5	O00187	O00187::RAW::3.4.21.104::1	P13926	Q1EMV2	Q1EMV2::RAW::RHEA:28542::1	0.8552444954522145	0.31038656209905946	0.05969643928763497	0.029447590178852432	0.0020000040531158447	0.037088990211486816	0	0	0	0	0	0
3	population	Q5HV27	Q7ZAG8	Q7ZAG8::RAW::RHEA-COMP:19475::1	P74841	Q04416	Q04416::RAW::RHEA:11948::1	0.9272280780687218	0.40254560614434576	0.059696882525837366	0.0378889112277454	0.04800000786781311	0.010802805423736572	0	0	0	0	0	0
4	population	Q2KCZ6	G1UBD1	G1UBD1::RAW::RHEA:30355::1	Q89AN4	P0DPB9	P0DPB9::RAW::RHEA:49456::1	0.9220059325120279	0.3183884282285968	0.06807896392070929	0.04115719918717685	0.009999990463256836	0.11944389343261719	0	0	0	0	0	0
5	population	Q5JDG3	Q9CIV8	Q9CIV8::RAW::RHEA:18381::1	Q03ME3	P14385	P14385::RAW::RHEA-COMP:12418::1	0.9142467305541803	0.49947221248100204	0.06950589717997957	0.054801032000456815	0.09799998998641968	0.02632582187652588	0	0	0	0	0	0
6	population	C3N6F0	Q46085	Q46085::RAW::3.4.24.3::1	P30897	P77781	P77781::RAW::RHEA:26309::1	0.9235577599117251	0.4945555839998027	0.07396225169560719	0.055126555341842715	0.04399999976158142	0.059659719467163086	0	0	0	0	0	0
7	population	Q0MQG8	P0AC81	P0AC81::RAW::RHEA:19069::1	B1Y3R5	Q6LZM9	Q6LZM9::RAW::RHEA-COMP:9743::1	0.9179215987141316	0.42855448021054865	0.07571943431771727	0.05870688369779839	0.006999999284744263	0.03990209102630615	0	0	0	0	0	0
8	population	Q32EM3	P06612	P06612::RAW::5.6.2.1::1	A7GSN8	Q7M181	Q7M181::RAW::RHEA:14813::1	0.8447383770214705	0.3424430335561435	0.07854910945048077	0.059936860918283506	0.08499999344348907	0.023062288761138916	0	0	0	0	0	0
9	population	Q8FFV3	P06612	P06612::RAW::5.6.2.1::1	Q5BJY6	P9WNW7	P9WNW7::RAW::RHEA:21352::1	0.8447574008372613	0.4770895763603977	0.07855622878740533	0.06113466150823523	0.01600000262260437	0.03263092041015625	0	0	0	0	0	0
10	population	Q3Z062	P06612	P06612::RAW::5.6.2.1::1	Q9I099	P37965	P37965::RAW::RHEA:12969::1	0.8447570233411776	0.49231971747317105	0.07856688013621496	0.06603830987091007	0.09799998998641968	0.02366054058074951	0	0	0	0	0	0
