protein_id	level	budget	component_id	length_stratum	candidate_rows	candidate_labels	matching_candidate	raw_top_rows	raw_top_labels	calibrated_top_rows	calibrated_top_labels	raw_levels_in_calibrated_top	top_set_expanded	raw_winner_row	calibrated_winner_row	raw_winner_label	calibrated_winner_label	winner_row_changed	winner_label_changed	raw_concordant	calibrated_concordant	raw_only_concordant	calibrated_only_concordant	calibrated_tie_loss	raw_tie_loss	monotonicity_violations
A0A078BQP2	EC_L3	10	846	GT_1022	11	2	1	1	1	1	1	1	0	137	137	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A078BQP2	EC_L3	25	846	GT_1022	35	4	1	1	1	1	1	1	0	137	137	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A078BQP2	EC_L3	50	846	GT_1022	77	4	1	1	1	1	1	1	0	137	137	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A078BQP2	EC_L3	ALL	846	GT_1022	295	38	1	1	1	2	2	2	1	137	137	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A078BQP2	EC_L4	10	846	GT_1022	11	3	1	1	1	6	2	6	1	137	78	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A078BQP2	EC_L4	25	846	GT_1022	35	5	1	1	1	10	2	10	1	285	78	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A078BQP2	EC_L4	50	846	GT_1022	77	8	1	1	1	10	2	10	1	285	78	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A078BQP2	EC_L4	ALL	846	GT_1022	295	61	1	1	1	11	3	11	1	285	78	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A0U1RPR8	EC_L3	10	846	GT_1022	10	2	1	1	1	1	1	1	0	2844	2844	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A0U1RPR8	EC_L3	25	846	GT_1022	35	3	1	1	1	1	1	1	0	2844	2844	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A0U1RPR8	EC_L3	50	846	GT_1022	71	4	1	1	1	6	2	6	1	2658	2654	2.7.10	2.7.10	1	0	0	0	0	0	0	0	0
A0A0U1RPR8	EC_L3	ALL	846	GT_1022	249	5	1	1	1	16	3	16	1	2712	2631	2.3.2	2.7.11	1	1	0	0	0	0	0	0	0
A0A0U1RPR8	EC_L4	10	846	GT_1022	10	4	1	1	1	7	2	7	1	2719	2661	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A0U1RPR8	EC_L4	25	846	GT_1022	35	7	1	1	1	7	2	7	1	2719	2661	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A0U1RPR8	EC_L4	50	846	GT_1022	71	9	1	1	1	12	2	12	1	2679	2661	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A0U1RPR8	EC_L4	ALL	846	GT_1022	249	17	1	1	1	13	3	13	1	2679	2661	4.6.1.2	4.6.1.1	1	1	1	0	1	0	1	0	0
A0A1T4LJ54	EC_L3	10	52363	LE_1022	11	3	1	1	1	2	1	2	1	6088	6088	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A1T4LJ54	EC_L3	25	52363	LE_1022	28	6	1	1	1	3	1	3	1	6088	6088	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A1T4LJ54	EC_L3	50	52363	LE_1022	56	17	1	1	1	1	1	1	0	6260	6260	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A1T4LJ54	EC_L3	ALL	52363	LE_1022	253	63	1	1	1	1	1	1	0	6260	6260	4.6.1	4.6.1	0	0	1	1	0	0	0	0	0
A0A1T4LJ54	EC_L4	10	52363	LE_1022	11	8	1	1	1	1	1	1	0	6086	6086	4.6.1.26	4.6.1.26	0	0	1	1	0	0	0	0	0
A0A1T4LJ54	EC_L4	25	52363	LE_1022	28	14	1	1	1	1	1	1	0	6086	6086	4.6.1.26	4.6.1.26	0	0	1	1	0	0	0	0	0
A0A1T4LJ54	EC_L4	50	52363	LE_1022	56	30	1	1	1	2	2	2	1	6296	6086	4.6.1.1	4.6.1.26	1	1	0	1	0	1	0	0	0
A0A1T4LJ54	EC_L4	ALL	52363	LE_1022	253	134	1	1	1	2	2	2	1	6296	6086	4.6.1.1	4.6.1.26	1	1	0	1	0	1	0	0	0
A0A2H5BHJ6	EC_L3	10	154	LE_1022	12	8	1	1	1	1	1	1	0	7018	7018	6.3.4	6.3.4	0	0	1	1	0	0	0	0	0
